epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,181.614,1.65134,3.13746,2.07889,1.78683,0.41881,0.28817,0.2958,0.1133,0.00293,0.00498,0.00025,5e-05,2.12485,2.79384,2.31471,2.38598,0.00118015,0.00118015,0.00118015
120,183.189,1.64631,3.21689,2.03884,1.74837,0.36604,0.30348,0.3087,0.12336,0.04336,0.00498,0.00066,0.00013,2.10127,2.77734,2.2231,2.41837,0.00117603,0.00117603,0.00117603
121,184.692,1.64033,3.16209,1.98806,1.7571,0.3363,0.31208,0.27277,0.12674,0.00391,0.00498,0.00032,6e-05,2.14382,2.88935,2.28603,2.42566,0.0011719,0.0011719,0.0011719
122,186.196,1.6226,3.11338,1.93025,1.76136,0.27036,0.32201,0.25515,0.11659,0.01301,0.00746,0.00067,0.00011,2.19097,2.8503,2.36967,2.40976,0.00116778,0.00116778,0.00116778
123,187.696,1.62215,3.19927,1.98133,1.79417,0.30309,0.34979,0.25532,0.11392,0.01068,0.00498,0.00058,8e-05,2.16192,2.85633,2.41339,2.42132,0.00116365,0.00116365,0.00116365
124,189.193,1.59266,3.19314,2.02698,1.76727,0.32044,0.33212,0.28591,0.12266,0.00102,0.00249,0.00034,5e-05,2.12435,2.87173,2.31514,2.4321,0.00115952,0.00115952,0.00115952
125,190.687,1.64585,3.23909,2.07298,1.77121,0.35423,0.2853,0.26718,0.10709,0.00028,0.00746,0.00015,3e-05,2.18164,2.84441,2.41515,2.4762,0.0011554,0.0011554,0.0011554
126,192.175,1.64394,3.14915,2.0074,1.75217,0.35063,0.27612,0.23609,0.08381,0.00049,0.00995,0.00026,4e-05,2.28319,2.90717,2.6076,2.53655,0.00115127,0.00115127,0.00115127
127,193.664,1.62985,3.1313,2.01859,1.76932,0.36597,0.27784,0.23336,0.09275,0.01467,0.00249,0.00065,0.0001,2.25308,2.86463,2.58232,2.52149,0.00114715,0.00114715,0.00114715
128,195.156,1.59809,3.09212,1.96482,1.74587,0.38666,0.26081,0.26339,0.11782,0.04715,0.00249,0.0006,0.00012,2.17452,2.81745,2.38097,2.42515,0.00114302,0.00114302,0.00114302
129,196.651,1.59388,3.08443,1.97568,1.74859,0.3029,0.25048,0.23346,0.10028,0.00663,0.00498,0.00046,7e-05,2.32835,2.96576,2.45142,2.57377,0.00113889,0.00113889,0.00113889
130,198.137,1.59621,3.16149,1.99186,1.71299,0.28836,0.18402,0.19336,0.08491,0.00416,0.00249,0.00026,3e-05,2.39034,3.1548,3.02171,2.66262,0.00113477,0.00113477,0.00113477
131,199.705,1.6839,3.24018,2.04069,1.79895,0.32389,0.30253,0.25775,0.1075,0.05461,0.00249,0.00079,0.0001,2.19582,2.79453,2.35149,2.51653,0.00113064,0.00113064,0.00113064
132,201.216,1.58751,3.06531,1.92615,1.73425,0.31386,0.33946,0.2722,0.11206,0.07631,0.00249,0.00087,0.0001,2.06492,2.73617,2.27367,2.37998,0.00112652,0.00112652,0.00112652
133,202.717,1.72309,3.17025,2.08349,1.85062,0.32706,0.26942,0.25781,0.10891,0.07954,0.00249,0.00105,0.0002,2.08086,2.7916,2.43762,2.43452,0.00112239,0.00112239,0.00112239
134,204.2,1.54902,3.10206,1.9073,1.66944,0.37314,0.28971,0.27603,0.11681,0.00933,0.00498,0.00095,0.00018,2.11349,2.84867,2.466,2.49123,0.00111827,0.00111827,0.00111827
135,205.71,1.60622,3.14437,1.9881,1.73899,0.31392,0.31707,0.25389,0.11276,0.0031,0.00498,0.0007,0.00014,2.10362,2.86648,2.40421,2.44289,0.00111414,0.00111414,0.00111414
136,207.206,1.6127,3.12924,1.97089,1.75887,0.32835,0.30912,0.25036,0.10837,0.01598,0.00249,0.00057,9e-05,2.09183,2.84662,2.45485,2.42935,0.00111001,0.00111001,0.00111001
137,208.717,1.58813,3.1555,2.06596,1.73247,0.37154,0.28684,0.26186,0.11372,0.00726,0.00498,0.0007,0.00016,2.21386,2.86469,2.46807,2.52343,0.00110589,0.00110589,0.00110589
138,210.206,1.5761,3.21142,1.98314,1.72618,0.32949,0.28684,0.25743,0.1173,0.00064,0.00249,0.00018,4e-05,2.20307,2.93058,2.41578,2.47057,0.00110176,0.00110176,0.00110176
139,211.702,1.55998,3.15772,1.94492,1.6978,0.32605,0.32702,0.25147,0.11664,0.0019,0.00249,0.0002,3e-05,2.16727,2.96085,2.40447,2.43298,0.00109764,0.00109764,0.00109764
140,213.271,1.5699,3.09174,1.96473,1.70702,0.29465,0.35228,0.25915,0.10944,0.03433,0.00498,0.00165,0.00022,2.12012,2.87422,2.38799,2.44661,0.00109351,0.00109351,0.00109351
141,214.759,1.59549,3.06492,1.85808,1.70406,0.35405,0.3239,0.28277,0.11841,0.03964,0.00249,0.00072,0.00016,2.13182,2.88966,2.32323,2.45466,0.00108938,0.00108938,0.00108938
142,216.254,1.53585,3.13136,1.89418,1.65495,0.35217,0.34941,0.27842,0.11639,0.02997,0.00249,0.00047,7e-05,2.11315,2.873,2.3187,2.3905,0.00108526,0.00108526,0.00108526
143,217.744,1.5218,3.17082,1.89288,1.66202,0.37656,0.26866,0.29277,0.11817,0.02042,0.00249,0.0004,5e-05,2.22853,2.90752,2.348,2.50225,0.00108113,0.00108113,0.00108113
144,219.216,1.58153,3.16519,1.97809,1.72577,0.39165,0.29143,0.25578,0.10672,0.00901,0.00249,0.00032,3e-05,2.32375,2.97575,2.53405,2.58235,0.00107701,0.00107701,0.00107701
145,220.698,1.53106,3.1235,1.86639,1.63619,0.38966,0.30635,0.27246,0.10386,0.00017,0.00249,8e-05,1e-05,2.24474,2.85404,2.58184,2.50971,0.00107288,0.00107288,0.00107288
146,222.177,1.54074,3.11613,1.9514,1.69444,0.34144,0.30061,0.2516,0.08525,0.00025,0.00498,0.00013,1e-05,2.33106,2.82501,2.54401,2.5714,0.00106876,0.00106876,0.00106876
147,223.672,1.59097,3.1296,1.90746,1.72412,0.3446,0.2964,0.24694,0.08278,0.03884,0.00249,0.0006,0.00011,2.34666,2.8644,2.40441,2.63983,0.00106463,0.00106463,0.00106463
148,225.187,1.48552,3.12062,1.84105,1.65411,0.36403,0.27612,0.22907,0.10373,0.00026,0.00498,0.00013,3e-05,2.13939,2.84037,2.53095,2.50072,0.0010605,0.0010605,0.0010605
149,226.677,1.51684,3.06179,1.84426,1.63966,0.29608,0.30029,0.26147,0.11399,0.03129,0.00249,0.00044,0.0001,2.2049,2.85189,2.35568,2.4969,0.00105638,0.00105638,0.00105638
150,228.164,1.47807,3.07514,1.83762,1.6258,0.45544,0.19403,0.23935,0.09313,0.00048,0.00498,0.00025,3e-05,2.21819,2.94733,2.83394,2.52286,0.00105225,0.00105225,0.00105225
151,229.711,1.55574,3.05613,1.88934,1.69104,0.31073,0.24876,0.2442,0.1063,0.00025,0.00249,0.00012,2e-05,2.22425,2.95952,2.80444,2.51685,0.00104813,0.00104813,0.00104813
152,231.198,1.50053,3.01997,1.85734,1.65048,0.32696,0.28737,0.25272,0.10674,0.00372,0.01282,0.00064,0.00011,2.1841,2.89249,2.60404,2.53056,0.001044,0.001044,0.001044
153,232.699,1.50614,3.07089,1.94462,1.65304,0.35838,0.34405,0.26976,0.1112,0.0018,0.00249,0.00013,4e-05,2.11577,2.81543,2.44583,2.47613,0.00103987,0.00103987,0.00103987
154,234.185,1.49263,3.07089,1.78424,1.64929,0.43051,0.2455,0.26158,0.11669,0.00108,0.00249,0.00012,4e-05,2.11845,2.80969,2.40617,2.48162,0.00103575,0.00103575,0.00103575
155,235.684,1.58005,3.18971,1.99135,1.75115,0.46526,0.26914,0.26335,0.11287,0.00049,0.02028,0.00028,5e-05,2.14075,2.82754,2.46748,2.5001,0.00103162,0.00103162,0.00103162
156,237.166,1.51205,3.09738,1.89529,1.67478,0.30769,0.2633,0.24831,0.11512,0.00027,0.00498,0.00014,3e-05,2.14692,2.83461,2.43224,2.44013,0.0010275,0.0010275,0.0010275
157,238.657,1.51987,3.11075,1.89065,1.66138,0.38926,0.24129,0.26232,0.10889,0.09787,0.00249,0.00086,0.00011,2.13737,2.83446,2.47181,2.39489,0.00102337,0.00102337,0.00102337
158,240.146,1.44459,3.04312,1.80811,1.62409,0.43982,0.22886,0.24,0.10199,0.21574,0.00249,0.00281,0.00032,2.19916,2.84791,2.45949,2.49088,0.00101925,0.00101925,0.00101925
159,241.638,1.51341,3.08995,1.78831,1.63305,0.35616,0.23766,0.22938,0.07254,0.00078,0.02526,0.00044,7e-05,2.33826,2.92015,2.40368,2.65028,0.00101512,0.00101512,0.00101512
160,243.125,1.53026,3.14189,1.83973,1.628,0.2765,0.24933,0.20127,0.06501,0.03273,0.00249,0.00055,9e-05,2.2903,2.91875,2.54476,2.56661,0.00101099,0.00101099,0.00101099
161,244.671,1.49008,3.09803,1.80743,1.6323,0.28591,0.24015,0.24518,0.07321,0.00068,0.02028,0.00037,6e-05,2.32265,2.81667,2.70129,2.57039,0.00100687,0.00100687,0.00100687
162,246.154,1.52431,3.12143,1.85586,1.67156,0.30037,0.31592,0.26108,0.1037,0.0101,0.00249,0.00029,4e-05,2.2539,2.78706,2.45922,2.53093,0.00100274,0.00100274,0.00100274
163,247.651,1.48384,3.02498,1.80398,1.63782,0.34477,0.37505,0.28527,0.12426,0.00336,0.00249,0.00019,4e-05,2.15689,2.79665,2.41379,2.46327,0.000998616,0.000998616,0.000998616
164,249.146,1.57583,2.96526,1.81727,1.67868,0.38892,0.32421,0.27955,0.11571,0.00058,0.02028,0.00031,5e-05,2.14222,2.81828,2.33464,2.44117,0.000994491,0.000994491,0.000994491
165,250.628,1.50464,3.20133,1.80722,1.63321,0.3357,0.37037,0.28915,0.1174,0.0005,0.0178,0.00028,7e-05,2.17148,2.84892,2.35164,2.48361,0.000990365,0.000990365,0.000990365
166,252.1,1.4861,3.02665,1.81728,1.63269,0.3931,0.27663,0.27164,0.11352,0.00064,0.02028,0.00034,6e-05,2.19854,2.9085,2.448,2.51254,0.000986239,0.000986239,0.000986239
167,253.615,1.51957,3.05943,1.79862,1.65813,0.34565,0.29066,0.24552,0.09372,0.0002,0.00498,0.0001,4e-05,2.27601,2.87392,2.41371,2.59317,0.000982113,0.000982113,0.000982113
168,255.097,1.53178,3.12524,1.72845,1.65848,0.33769,0.35936,0.26985,0.10368,0.00018,0.00498,9e-05,4e-05,2.29107,2.84552,2.36273,2.60757,0.000977987,0.000977987,0.000977987
169,256.585,1.52119,3.0324,1.80312,1.66926,0.39212,0.34979,0.30876,0.121,0.0218,0.00249,0.00055,7e-05,2.2537,2.80742,2.33197,2.62086,0.000973861,0.000973861,0.000973861
170,258.07,1.48938,3.07277,1.77047,1.61438,0.4168,0.36909,0.30784,0.1219,0.06574,0.00249,0.00092,0.00011,2.19212,2.79469,2.34946,2.5949,0.000969736,0.000969736,0.000969736
171,259.608,1.51109,3.03602,1.82951,1.66266,0.45726,0.30597,0.28892,0.11482,0.00427,0.00498,0.00058,7e-05,2.19578,2.82288,2.41778,2.54108,0.00096561,0.00096561,0.00096561
172,261.104,1.50851,3.01542,1.77502,1.64079,0.40917,0.27995,0.26018,0.10209,0.00607,0.00498,0.00029,5e-05,2.21076,2.83153,2.56254,2.53511,0.000961484,0.000961484,0.000961484
173,262.581,1.43035,3.02521,1.69871,1.55172,0.40311,0.25545,0.24225,0.09551,0.00177,0.00498,0.00046,7e-05,2.27569,2.87224,2.6297,2.57569,0.000957358,0.000957358,0.000957358
174,264.055,1.4717,3.00589,1.75768,1.60542,0.37557,0.27535,0.22301,0.08996,0.051,0.00249,0.00091,0.00012,2.29546,2.93341,2.51164,2.55877,0.000953232,0.000953232,0.000953232
175,265.545,1.46383,3.01252,1.74035,1.60614,0.29474,0.24302,0.19048,0.07878,0.12328,0.00249,0.00173,0.00021,2.32215,2.974,2.74122,2.58558,0.000949106,0.000949106,0.000949106
176,267.039,1.51391,3.02624,1.80841,1.67009,0.31908,0.26866,0.23941,0.10383,0.0007,0.01282,0.00023,2e-05,2.26389,2.95121,2.70038,2.50956,0.000944981,0.000944981,0.000944981
177,268.538,1.51074,3.10221,1.75466,1.65877,0.2982,0.23307,0.23067,0.09831,0.00393,0.00249,0.00022,3e-05,2.21718,2.94774,2.56214,2.55344,0.000940855,0.000940855,0.000940855
178,270.022,1.57162,3.084,1.87191,1.68502,0.39217,0.26043,0.23876,0.10296,0.00411,0.00249,0.00024,7e-05,2.19304,2.90999,2.43709,2.57042,0.000936729,0.000936729,0.000936729
179,271.513,1.48975,3.09553,1.77246,1.65125,0.28999,0.34118,0.243,0.10013,0.00025,0.00498,0.00013,5e-05,2.22227,2.84677,2.36238,2.60095,0.000932603,0.000932603,0.000932603
180,273.009,1.44214,2.93634,1.72001,1.61047,0.36486,0.2566,0.23285,0.08969,0.00049,0.00746,0.00025,6e-05,2.27804,2.89595,2.48682,2.58507,0.000928477,0.000928477,0.000928477
181,274.557,1.54132,3.0917,1.8003,1.65087,0.47361,0.22924,0.26334,0.09816,0.00065,0.00746,0.00034,4e-05,2.21471,2.92135,2.54068,2.52789,0.000924352,0.000924352,0.000924352
182,276.037,1.4594,2.98744,1.71354,1.58288,0.40873,0.27125,0.27344,0.10908,0.23762,0.00249,0.0029,0.00031,2.2108,2.87633,2.47109,2.55251,0.000920226,0.000920226,0.000920226
183,277.521,1.41104,2.93144,1.6928,1.58995,0.41507,0.25335,0.26128,0.10718,0.02033,0.00249,0.00045,6e-05,2.26461,2.93793,2.68367,2.66562,0.0009161,0.0009161,0.0009161
184,279.007,1.42533,2.90614,1.65543,1.56871,0.34991,0.23842,0.22724,0.09406,0.00602,0.00498,0.00057,0.0001,2.26178,2.96313,2.70958,2.68695,0.000911974,0.000911974,0.000911974
185,280.473,1.40361,2.93941,1.6596,1.55108,0.27936,0.23842,0.21654,0.0921,0.02015,0.00498,0.00049,8e-05,2.23674,2.99978,2.66377,2.58807,0.000907848,0.000907848,0.000907848
186,281.945,1.47097,3.04635,1.71579,1.61435,0.29206,0.26617,0.21124,0.07798,0.01208,0.00498,0.00079,0.00017,2.294,3.0234,2.65819,2.67505,0.000903722,0.000903722,0.000903722
187,283.411,1.42194,3.00517,1.68252,1.57133,0.30264,0.26579,0.23094,0.07431,0.00546,0.00498,0.00055,0.0001,2.27319,2.94581,2.71971,2.60484,0.000899597,0.000899597,0.000899597
188,284.904,1.51434,2.9695,1.71268,1.65128,0.37188,0.26655,0.2483,0.09175,0.03149,0.00249,0.00052,9e-05,2.19531,2.87877,2.76397,2.63678,0.000895471,0.000895471,0.000895471
189,286.396,1.49612,2.97013,1.75751,1.63089,0.32998,0.30649,0.27328,0.09616,0.08318,0.00249,0.00093,0.00017,2.19016,2.83452,2.53093,2.57248,0.000891345,0.000891345,0.000891345
190,287.89,1.46268,2.96999,1.68887,1.61077,0.34426,0.2832,0.21569,0.08657,0.05768,0.00249,0.00071,8e-05,2.1429,2.83652,2.67658,2.57543,0.000887219,0.000887219,0.000887219
191,289.433,1.46109,3.01826,1.74904,1.58889,0.39822,0.24602,0.21868,0.08472,0.16527,0.00249,0.00178,0.00018,2.16216,2.89545,2.78448,2.54503,0.000883093,0.000883093,0.000883093
192,290.917,1.44248,2.98491,1.6984,1.59035,0.41412,0.24965,0.24716,0.10069,0.00078,0.02028,0.00051,6e-05,2.16031,2.89644,2.61917,2.52371,0.000878967,0.000878967,0.000878967
193,292.412,1.41637,2.91226,1.70297,1.58178,0.3647,0.26474,0.21535,0.09558,0.00275,0.00498,0.00055,0.00012,2.26571,2.87059,2.43548,2.59204,0.000874842,0.000874842,0.000874842
194,293.895,1.44889,3.00862,1.68019,1.57939,0.25571,0.29277,0.20571,0.08469,0.00849,0.00746,0.00173,0.0002,2.22221,2.88068,2.57378,2.55553,0.000870716,0.000870716,0.000870716
195,295.385,1.46933,3.07127,1.7641,1.57538,0.31619,0.28887,0.23455,0.09084,0.00322,0.00498,0.0003,5e-05,2.24486,2.92403,2.63067,2.60081,0.00086659,0.00086659,0.00086659
196,296.876,1.39405,2.98651,1.63362,1.52889,0.41817,0.25871,0.25038,0.08705,0.00091,0.02028,0.0005,8e-05,2.25385,2.88473,2.53372,2.60931,0.000862464,0.000862464,0.000862464
197,298.361,1.41432,2.98863,1.67412,1.60375,0.48564,0.18749,0.24389,0.09045,0.02329,0.00249,0.00042,6e-05,2.30698,2.88269,2.66934,2.71625,0.000858338,0.000858338,0.000858338
198,299.843,1.4391,2.99498,1.69882,1.61023,0.45021,0.18867,0.2446,0.08617,0.03244,0.00249,0.00059,0.00014,2.35863,2.92213,2.7305,2.75462,0.000854212,0.000854212,0.000854212
199,301.34,1.3401,2.868,1.54078,1.5179,0.35199,0.30922,0.26882,0.0921,0.35357,0.00249,0.00296,0.00032,2.30189,2.93658,2.4425,2.69101,0.000850087,0.000850087,0.000850087
200,302.817,1.36713,2.87726,1.60191,1.55842,0.33282,0.29353,0.25653,0.08039,0.00141,0.00249,0.00039,6e-05,2.29234,2.95462,2.45166,2.69426,0.000845961,0.000845961,0.000845961
201,304.318,1.42962,2.89531,1.64156,1.55435,0.45587,0.24799,0.21908,0.0756,0.03748,0.00249,0.00065,9e-05,2.25985,2.97203,2.62588,2.66247,0.000841835,0.000841835,0.000841835
202,305.865,1.3915,2.79633,1.58877,1.53767,0.31578,0.28049,0.23223,0.07926,0.11487,0.00498,0.00289,0.00032,2.26117,2.94342,2.64673,2.64236,0.000837709,0.000837709,0.000837709
203,307.337,1.42096,2.91226,1.61924,1.55469,0.33983,0.26579,0.21362,0.09,0.10258,0.00249,0.00106,0.00014,2.21487,2.8761,2.60865,2.57252,0.000833583,0.000833583,0.000833583
204,308.816,1.38299,2.9712,1.67793,1.53638,0.36375,0.25297,0.22682,0.09296,0.00023,0.00249,0.00011,2e-05,2.11682,2.86743,2.80363,2.52651,0.000829458,0.000829458,0.000829458
205,310.301,1.41916,2.99164,1.71097,1.56647,0.31851,0.24839,0.21494,0.09352,0.00018,0.00249,9e-05,2e-05,2.11242,2.85659,2.76181,2.49561,0.000825332,0.000825332,0.000825332
206,311.784,1.37227,2.88257,1.58197,1.54757,0.35788,0.23412,0.21883,0.09128,0.00012,0.00249,6e-05,1e-05,2.15061,2.85793,2.60409,2.52089,0.000821206,0.000821206,0.000821206
207,313.285,1.39392,2.90207,1.598,1.53451,0.38653,0.25335,0.21694,0.09106,0.00012,0.00249,6e-05,1e-05,2.22154,2.86585,2.50753,2.63494,0.00081708,0.00081708,0.00081708
208,314.768,1.38932,2.9193,1.59702,1.55369,0.35803,0.29679,0.25627,0.08698,0.00056,0.0178,0.00034,7e-05,2.27979,2.8795,2.49846,2.69111,0.000812954,0.000812954,0.000812954
209,316.26,1.38284,2.9249,1.57793,1.56479,0.38609,0.22024,0.22316,0.07857,0.02688,0.00249,0.00073,0.00013,2.2735,2.84151,2.63747,2.63764,0.000808828,0.000808828,0.000808828
210,317.747,1.42808,2.95707,1.63608,1.5995,0.36654,0.21281,0.20608,0.07423,0.00028,0.00249,0.00015,3e-05,2.25651,2.81545,2.71777,2.58023,0.000804703,0.000804703,0.000804703
211,319.229,1.48074,2.95553,1.67825,1.61309,0.298,0.2124,0.20891,0.08503,0.00053,0.01531,0.00028,4e-05,2.20954,2.83051,2.6252,2.54193,0.000800577,0.000800577,0.000800577
212,320.729,1.36367,2.91024,1.64727,1.54794,0.23283,0.27325,0.20732,0.07765,0.00064,0.0178,0.00037,6e-05,2.29357,2.89148,2.53425,2.62053,0.000796451,0.000796451,0.000796451
